Origin,Coffee,Bags,Unit,Farm / Name,Process,Cert.,Cup Profile,Avail.,€ / KG,$ / KG,Info,Unnamed: 12,offer_date
BLEND,DECAFFEINATED,130,60,Espresso Blend DCM Decaffeinated,DCM decaf,,"dark chocolate, hazelnut",Hamb,4.28,5.13,,,2021-04-23
BRAZIL,ARABICA SPOT,515,59,Santos Aquarela NY2 17/18 s.s. fine cup,natural,,"chocolate, almond",Hamb,2.72,3.26,,,2021-04-23
BRAZIL,ARABICA SPOT,117,59,Cerrado Doce Diamantina NY2 16up natural,natural,,,Hamb,2.79,3.35,,,2021-04-23
BRAZIL,ARABICA SPOT,80,59,Mogiana Bella Giana NY2 17/18 s.s. fine cup pulped natural,pulped natural,,"hazelnut, cream",Hamb,2.86,3.44,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,105,59,Santos NY2 Screen 19 s.s. fine cup,natural,,"hazelnut, almond, milk chocolate",Hamb,3.16,3.79,,,2021-04-23
BRAZIL,ARABICA SPOT,17,59,Donas do Café Project NY2 16up natural,natural,,"caramel, nutty, milk chocolate",Hamb,3.53,4.23,,,2021-04-23
BRAZIL,ARABICA SPOT,26,59,Donas do Café Project NY2 16up pulped natural,pulped natural,,"fig, almond, cream",Hamb,3.71,4.45,,,2021-04-23
BRAZIL,ARABICA SPOT,40,59,Fazenda Passeio NY2 16up pulped natural,pulped natural,,"molasses, honey, floral",Hamb,4.13,4.96,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,3,59,Fazenda Carmo Estate NY2 16up pulped natural,pulped natural,,"hazelnut, caramel, milk chocolate",Hamb,4.13,4.96,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,9,59,Fazenda Capoeira 'Terra Preta' NY2 16up pulped natural,pulped natural,,"molasses, hazelnut, malic",Hamb,4.17,5.0,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,77,59,Fazenda Lagoa NY2 16up pulped natural,pulped natural,,"fig, hazelnut",Hamb,4.26,5.11,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,1,59,Sitio Serra Negra NY2 16up natural Lot #187,natural,,"stonefruit, papaya, jasmine",Hamb,5.0,6.0,Factsheet,,2021-04-23
BRAZIL,ARABICA SPOT,52,60,Fazendas Dutra NY2/3 14/16 s.s. fine cup Organic,natural,ORG,,Hamb,5.42,6.5,,,2021-04-23
COLOMBIA,ARABICA SPOT,4,5,Las Margaritas Geisha Hybrid double fermentation,hybrid,,"blackberry, Jasmine, lemongrass",Hamb,39.72,47.66,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,154,70,Excelso EP Rainforest Alliance,washed,RFA,"tropical, nuts, nougat, juicy",Hamb,4.21,5.05,,,2021-04-23
COLOMBIA,ARABICA SPOT,350,70,Supremo EP Screen 17 Finca La Secreta,washed,,"mirabelle, papaya, herbal",Hamb,4.32,5.18,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,200,70,Supremo EP Screen 17 Huila 'Rafael',washed,,"chocolate, tropical, stone fruit",Hamb,4.33,5.2,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,220,70,Colombia Excelso EP Antioquia,washed,,,Hamb,4.33,5.2,,,2021-04-23
COLOMBIA,ARABICA SPOT,130,70,Excelso EP Palermo,washed,,"peach, cream, tropical fruits",Hamb,4.37,5.24,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,173,70,Hacienda La Claudina,washed,,,Hamb,4.63,5.56,,,2021-04-23
COLOMBIA,ARABICA SPOT,235,70,Excelso EP,washed,ORG,,Hamb,4.66,5.6,,,2021-04-23
COLOMBIA,ARABICA SPOT,1,10,Las Margaritas Pacamara X.O.,natural,,"plum, dark chocolate, whisky",Hamb,45.23,54.28,Factsheet,,2021-04-23
COLOMBIA,DECAFFEINATED,18,60,Colombia Supremo Huila DCM Decaffeinated,DCM decaf,,"dark chocolate, almond",Hamb,5.29,6.35,,,2021-04-23
COLOMBIA,ARABICA SPOT,6,70,Rio Blanco Organic,washed,ORG,"melon, mango, almond",Hamb,5.36,6.44,,,2021-04-23
COLOMBIA,DECAFFEINATED,33,60,Colombia Supremo Huila CO² Decaffeinated,CO² decaf,,"milk chocolate, floral, almond",Hamb,5.97,7.16,,,2021-04-23
COLOMBIA,ARABICA SPOT,2,5,Las Margaritas Geisha honey,honey,,"cherry, jasmine, rum",Hamb,54.42,65.3,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,10,10,Cerro Azul Geisha natural,natural,,"jasmine, cantaloupe, peach",Hamb,58.09,69.71,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,6,35,Hacienda La Claudina Maragogype,washed,,,Hamb,6.65,7.98,,,2021-04-23
COLOMBIA,ARABICA SPOT,4,10,Las Margaritas Sudan Rume natural,natural,,"cardamom, juniper, basil",Hamb,67.28,80.73,Factsheet,,2021-04-23
COLOMBIA,ARABICA SPOT,65,70,Los Bucaros Maragogype,washed,,"caramel, hazelnut, chocolate",Hamb,8.3,9.96,Factsheet,,2021-04-23
COSTA RICA,ARABICA SPOT,152,69,SHB EP Las Trojas Superior,washed,,"caramel, hazelnut, cocoa",Hamb,4.76,5.71,,,2021-04-23
COSTA RICA,ARABICA SPOT,66,69,SHB EP La Pastora Tarrazú,washed,,"caramel, honey, smooth",Hamb,4.94,5.93,Factsheet,,2021-04-23
EL SALVADOR,ARABICA SPOT,135,69,Altura EP El Borbollon,washed,,"hazelnut, caramel, dark choc",Hamb,3.65,4.38,Factsheet,,2021-04-23
EL SALVADOR,ARABICA SPOT,63,69,"SHG EP ""Finca Los Naranjos""",washed,,"molasses, almond, chocolate",Hamb,3.73,4.48,,,2021-04-23
